Feature,Importance
Roll_Mean_3,0.7168852537053324
Lag_12,0.11863463860953379
Roll_Mean_6,0.06183786329403906
Trend,0.05105154202712549
Roll_Mean_12,0.03188979124700569
Roll_Std_3,0.004236693242110468
Lag_1,0.0031673784029987535
Roll_Std_6,0.002225787205138281
Lag_3,0.0021496342461325914
Lag_6,0.0019074119914077104
Roll_Std_12,0.0016500020897221364
Month_Sin,0.0015964065072336265
Month_Cos,0.0012570524186343213
Month,0.0012273179513719197
Quarter,0.000283227062213777
