Date,Year,Month,Linear_Regression,Random_Forest,Gradient_Boosting,ARIMA,ARIMA_Lower,ARIMA_Upper,Ensemble,Ensemble_Std,Ensemble_Lower,Ensemble_Upper
2024-02-01,2024,2,523.0172811307391,520.7479649999998,521.57428022258,498.5732144749289,472.29797507056884,524.848453879289,515.978185207062,11.641147656838669,493.16153579965817,538.7948346144658
2024-03-01,2024,3,525.7140194077253,521.8722550000001,525.7338128302982,554.0998479100502,522.8026946076218,585.3970012124787,531.8549837870185,14.94064959851092,502.57131057393707,561.1386570000999
2024-04-01,2024,4,533.316885491439,521.217795,524.8068274514413,541.232965945286,507.37044756720945,575.0954843233625,530.1436184720417,8.96651017230886,512.5692585343163,547.717978409767
2024-05-01,2024,5,526.999249477022,521.2596299999999,524.9550499308313,563.1881829471816,527.5408719162755,598.8354939780878,534.1005280887587,19.5367027032648,495.80859079035963,572.3924653871577
2024-06-01,2024,6,520.6652534952343,521.0784750000001,524.9405917417029,538.976414274245,501.8566143301505,576.0962142183396,526.4151836277956,8.592653685778213,509.57358240367034,543.2567848519209
2024-07-01,2024,7,527.6090552117028,520.1472050000002,522.085189861736,541.5206765913385,503.07607056903964,579.9652826136374,527.8405316661944,9.65248121816099,508.9216684785988,546.7593948537899
2024-08-01,2024,8,522.7987195538933,518.8199900000002,521.6886817720352,529.7206250020876,490.03338002772745,569.4078699764477,523.2570040820041,4.623676348934663,514.1945984380922,532.319409725916
2024-09-01,2024,9,521.0447391314364,517.0975000000002,520.0580233133601,497.8278846084961,456.9517895569685,538.7039796600237,514.0070367633232,10.915732076795875,492.6122018928033,535.4018716338431
2024-10-01,2024,10,533.4301245028066,519.2891100000002,523.5410779823445,519.4085065962047,477.38400028326197,561.4330129091475,523.9172047703389,6.642909343194407,510.8971024576779,536.937307083
2024-11-01,2024,11,532.1923413405893,521.4879450000003,522.2327115804329,520.9173528097555,477.77791017490745,564.0567954446035,524.2075876826945,5.350343553990561,513.720914316873,534.694261048516
2024-12-01,2024,12,534.049053092948,523.5739850000002,527.6737290159682,538.9583469402327,494.73331531417466,583.1833785662907,531.0637785122873,6.802585719897055,517.7307105012891,544.3968465232855
2025-01-01,2025,1,525.7586453749047,521.3245999999998,521.8180767391307,540.2447953260893,494.9607274186106,585.5288632335679,527.2865293600311,8.863777638609532,509.9135251883564,544.6595335317057
2025-02-01,2025,2,523.4448837784327,520.3446700000005,523.5764074851551,508.88083172889657,460.4632125373987,557.2984509203944,519.0616982481213,6.94960369341255,505.4404750090327,532.6829214872099
2025-03-01,2025,3,521.7438134872107,521.6403100000006,525.9221146431519,561.1310828995347,510.5821010351141,611.6800647639553,532.6093302574744,19.11882219647318,495.136438752387,570.0822217625619
2025-04-01,2025,4,532.0382728336956,521.0471100000004,525.0365524130652,547.7101443439229,495.421424607227,599.9988640806189,531.4580198976711,11.748624487423893,508.43071590232023,554.4853238930219
2025-05-01,2025,5,523.6322579816164,521.0620500000002,525.1433517436849,568.4785381444273,514.6289245273815,622.328151761473,534.5790494674321,22.66237147440762,490.1608013775932,578.997297557271
2025-06-01,2025,6,516.7322754831083,519.8000150000003,523.7458871840596,547.5277728224287,492.2123693045986,602.8431763402588,526.9514876223992,14.014697573380925,499.4826803785726,554.4202948662258
2025-07-01,2025,7,525.3173850683785,520.3144100000004,522.2734916745898,547.3023793603259,490.58067710651983,604.0240816141319,528.8019165258236,12.50422838660084,504.29362888808595,553.3102041635613
2025-08-01,2025,8,518.859304369576,516.9256250000003,520.406285611936,534.332179716171,476.2474477702976,592.4169116620445,522.6308486744208,7.929774115870191,507.08849140731525,538.1732059415264
2025-09-01,2025,9,517.6158575873999,515.5873150000003,518.9400334911201,503.7966148834087,444.3840721221624,563.2091576446551,513.9849552404823,6.930754849540605,500.4006757353828,527.569234745582
2025-10-01,2025,10,531.998553497007,518.8111250000005,523.4988421513739,523.7882777510719,463.07865848097504,584.4978970211687,524.5241995998633,5.480210653738487,513.7829867185359,535.2654124811908
2025-11-01,2025,11,530.1258667214421,521.1125450000004,523.2369961324786,527.2728274712588,465.29400213075735,589.2516528117602,525.437058831295,4.037188034839835,517.5241702830089,533.3499473795811
2025-12-01,2025,12,532.2353141735817,524.0008650000003,529.0516645447206,545.8340411831205,482.6117994373852,609.0562829288558,532.7804712253558,9.339492662652255,514.4750656065573,551.0858768441542
2026-01-01,2026,1,522.0431869458401,520.8850950000002,522.0063785519844,548.9261251865234,484.48459045019194,613.367659922855,528.4651964210871,13.651203578984356,501.7088374062777,555.2215554358964
2026-02-01,2026,2,524.4668991985825,520.8425850000006,523.6332906510281,516.4547443452728,449.7260239407525,583.1834647497932,521.349379798721,3.612454067987613,514.2689698254652,528.4297897719767
2026-03-01,2026,3,521.1636254881408,521.1688000000004,524.5771379266417,568.2612102020402,499.7307085279591,636.7917118761212,533.7926934042058,23.035198820587397,488.6437037158545,578.9416830925571
2026-04-01,2026,4,532.6299478716599,521.2677000000004,525.0086240987038,554.7651702190386,484.64211868526627,624.888221752811,533.4178605473508,14.99633394732519,504.02504601059337,562.8106750841081
2026-05-01,2026,5,523.0593617912704,520.3266900000002,523.7148896017027,575.3728431892732,503.7603412535399,646.9853451250066,535.6184461455616,26.543518659837545,483.59314957228,587.6437427188432
2026-06-01,2026,6,516.6678478110424,519.7618050000003,523.7540055804468,554.8635620747774,481.8206806431167,627.9064435064381,528.7618051165667,17.641273365845816,494.18490931950896,563.3387009136245
2026-07-01,2026,7,525.1412892043315,519.8246950000002,522.2734916745898,554.2631824006274,479.82969595229275,628.6966688489622,530.3756645698872,16.072547589719992,498.87347129403605,561.8778578457384
2026-08-01,2026,8,518.4815775671151,517.0047200000004,519.8878019402264,541.1345552203744,465.34126200780446,616.9278484329444,524.127163681929,11.399201748383101,501.7847282550981,546.4695991087599
2026-09-01,2026,9,517.3490917890093,515.4390050000004,518.9400334911201,510.7827344757891,433.65588616998525,587.9095827815929,515.6277161889798,3.5328949215637686,508.70324214271477,522.5521902352448
2026-10-01,2026,10,532.046557045028,518.7116300000005,523.4988421513739,530.5592704053555,452.1225214787915,608.9960193319196,526.2040749004395,6.233173089970775,513.9870556440968,538.4210941567823
2026-11-01,2026,11,530.0474421140868,521.2416350000004,523.2369961324786,534.3113067660606,454.5866021920278,614.0360113400935,527.2093450031566,6.052155933355999,515.3471193737788,539.0715706325344
2026-12-01,2026,12,532.1828144581547,523.9711800000003,529.0516645447206,552.942951941918,471.95095471339255,633.9349491704434,534.5371527361983,12.728533742339847,509.5892266012122,559.4850788711844
2027-01-01,2027,1,521.643464954696,520.2131100000001,520.5779164100022,556.279497628819,474.0398137746223,638.5191814830156,529.6784972483792,17.74438026116342,494.8995119364989,564.4574825602596
2027-02-01,2027,2,525.3032664722856,520.8462100000005,523.6332906510281,523.6581855476703,439.3037921508593,608.0125789444813,523.3602381677462,1.849236501937141,519.7357346239494,526.9847417115429
2027-03-01,2027,3,521.2450872294212,521.2964250000005,524.5771379266417,575.404568103643,489.3180614624745,661.4910747448115,535.6308045649266,26.561620890252474,483.5700276200318,587.6915815098215
2027-04-01,2027,4,533.0467674566386,521.2297450000004,525.0086240987038,561.898360269729,474.24779994813196,649.548920591326,535.295874206268,18.40683072078459,499.2184859935302,571.3732624190058
